table,project,link,sponsors
1,Vend,http://hackpoly2016.devpost.com/submissions/47742-vend,"Hitachi Consulting - Best use of Internet of Things Hack , Best use of Esri API"
2,EyeMap,http://hackpoly2016.devpost.com/submissions/47824-eyemap,Best use of Algorithmia API
3,ShareRide,http://hackpoly2016.devpost.com/submissions/47878-shareride,Best use of Esri API
4,Cat in the act,http://hackpoly2016.devpost.com/submissions/47975-cat-in-the-act,"MLH - Punniest Domain.com Domain., Hitachi Consulting - Best use of Internet of Things Hack , Best use of Clarifai API"
5,Laser-Can-On,http://hackpoly2016.devpost.com/submissions/47981-laser-can-on,
6,U-Park,http://hackpoly2016.devpost.com/submissions/47989-u-park,Best use of Esri API
7,omnipic,http://hackpoly2016.devpost.com/submissions/47999-omnipic,
8,Google reCAPTCHA 'Breaker' - Powered by Clarifai,http://hackpoly2016.devpost.com/submissions/48001-google-recaptcha-breaker-powered-by-clarifai,Best use of Clarifai API
9,Clock 'em Block 'em,http://hackpoly2016.devpost.com/submissions/48002-clock-em-block-em,Best use of EA API
10,Helping Hand,http://hackpoly2016.devpost.com/submissions/48003-helping-hand,"Best use of Algorithmia API, MLH - Punniest Domain.com Domain., Hitachi Consulting - Best use of Internet of Things Hack , Best use of Esri API, Best use of Clarifai API"
11,Bushy Tailed Terror,http://hackpoly2016.devpost.com/submissions/48004-bushy-tailed-terror,MLH - Punniest Domain.com Domain.
12,Cardian Angel,http://hackpoly2016.devpost.com/submissions/48005-cardian-angel,"Hitachi Consulting - Best use of Internet of Things Hack , Best use of Clarifai API"
13,nity,http://hackpoly2016.devpost.com/submissions/48006-nity,
14,Gifly,http://hackpoly2016.devpost.com/submissions/48007-gifly,Best use of the Giphy API Prize
15,Khaled Cans,http://hackpoly2016.devpost.com/submissions/48008-khaled-cans,MLH - Best use of Amazon AWS
16,Mosaifai,http://hackpoly2016.devpost.com/submissions/48009-mosaifai,Best use of Clarifai API
17,ReciMe,http://hackpoly2016.devpost.com/submissions/48010-recime,
18,PickWhich,http://hackpoly2016.devpost.com/submissions/48011-pickwhich,
19,ClarifaiTickets,http://hackpoly2016.devpost.com/submissions/48013-clarifaitickets,"Best use of the Ticketmaster API, Best use of Clarifai API"
20,Graphics Engine,http://hackpoly2016.devpost.com/submissions/48014-graphics-engine,
21,Creative Visualizations of Audio signals.,http://hackpoly2016.devpost.com/submissions/48015-creative-visualizations-of-audio-signals,
22,BroncoBuffer,http://hackpoly2016.devpost.com/submissions/48016-broncobuffer,
23,Guess The Tag,http://hackpoly2016.devpost.com/submissions/48017-guess-the-tag,Best use of Clarifai API
24,Iris,http://hackpoly2016.devpost.com/submissions/48018-iris,
25,HackPoly2016-Raymond,http://hackpoly2016.devpost.com/submissions/48019-hackpoly2016-raymond,
26,vico,http://hackpoly2016.devpost.com/submissions/48021-vico,
27,GeoTrends,http://hackpoly2016.devpost.com/submissions/48022-geotrends,"MLH - Best use of Amazon AWS, Best use of Esri API, Best use of Clarifai API"
28,Never Remember,http://hackpoly2016.devpost.com/submissions/48023-never-remember,
29,Multi,http://hackpoly2016.devpost.com/submissions/48024-multi,
30,Fayble,http://hackpoly2016.devpost.com/submissions/48025-fayble,
31,AnimeUpdate,http://hackpoly2016.devpost.com/submissions/48026-animeupdate,
32,,,
33,Agar.io Remade,http://hackpoly2016.devpost.com/submissions/48028-agar-io-remade,
34,Carmmunity: Exotics,http://hackpoly2016.devpost.com/submissions/48029-carmmunity-exotics,
35,"GIMBAL, GPS, CELLULAR, Robot and Analog Synthesizer",http://hackpoly2016.devpost.com/submissions/48030-gimbal-gps-cellular-robot-and-analog-synthesizer,
36,MemeOff,http://hackpoly2016.devpost.com/submissions/48031-memeoff,
37,Tagmersive,http://hackpoly2016.devpost.com/submissions/48032-tagmersive,Best use of Clarifai API
38,Unitale_HackPoly2016,http://hackpoly2016.devpost.com/submissions/48033-unitale_hackpoly2016,
39,HACKPOLYTANKS,http://hackpoly2016.devpost.com/submissions/48034-hackpolytanks,Best use of EA API
40,Space Adventure,http://hackpoly2016.devpost.com/submissions/48035-space-adventure,
41,TheLono,http://hackpoly2016.devpost.com/submissions/48036-thelono,
42,TagSpy,http://hackpoly2016.devpost.com/submissions/48037-tagspy,Best use of Clarifai API
43,fotolitic,http://hackpoly2016.devpost.com/submissions/48038-fotolitic,Best use of Clarifai API
44,Casticks,http://hackpoly2016.devpost.com/submissions/48039-casticks,
45,PiCo,http://hackpoly2016.devpost.com/submissions/48040-pico,
46,Picafai,,
47,Viro,http://hackpoly2016.devpost.com/submissions/48027-viro,
48,Pow,,
,,,
